Variance,A,B,C
4.5,0.270467850300483,0.2529665403054948,0.006249164745215078
5.0,0.23908001055399541,0.2366981976081551,0.004836536940646566
5.5,0.21289013187942352,0.22187622215615288,0.003823688312132656
6.0,0.19079321826251527,0.20840023265803945,0.003077822715070279
6.5,0.1719727457457569,0.19615437505440966,0.002515811632916098
7.0,0.15580697062731805,0.18501574459830164,0.002083913299881178
7.5,0.1418192222247719,0.1748712358158429,0.0017462125351914541
8.0,0.1296376441540668,0.16561848588067576,0.0014780937811975905
8.5,0.11896793420475966,0.15716596790529325,0.0012622980266968472
9.0,0.10957504026990295,0.14943359883009502,0.001086461898582677
9.5,0.1012664327178449,0.14234712989412912,0.0009416259215348734
10.0,0.09388752061732832,0.13584570932024395,0.0008210933242246803
10.5,0.08730674457747317,0.12986886925395144,0.0007199148920965882
11.0,0.08141809639452849,0.12436922931437179,0.0006342388870073407
11.5,0.07612967361549147,0.11929887193255946,0.0005611770649602088
12.0,0.07136568684518446,0.11461860345580553,0.0004984295579223334
12.5,0.06706091206437724,0.1102916872986241,0.00044420652951858945
13.0,0.06315894059546509,0.10628414043662987,0.000397087012009631
13.5,0.059613326685777866,0.10256859608445747,0.0003559159895909318
14.0,0.056381215072449774,0.09911569498554818,0.0003197837081680505
14.5,0.05342843340906462,0.09590394489073671,0.0002879231101604079
15.0,0.050722996060635066,0.09290978154863079,0.0002597286111891211
15.5,0.0482386058721502,0.09011522559425032,0.00023467174853610332
16.0,0.04595182052825619,0.0875026346401051,0.00021233219774081428
16.5,0.04384162072349411,0.08505545228919839,0.00019235444376227554
17.0,0.041890284078698395,0.08276011165398622,0.00017443253023481813
17.5,0.04008198789633763,0.08060385449250528,0.00015831119276827
18.0,0.038402448473638266,0.07857470875304391,0.00014377141056189004
18.5,0.03683959544336276,0.07666272279812396,0.0001306262258740229
19.0,0.03538245663390897,0.07485847625971388,0.00011871457187442579
19.5,0.03402130125622223,0.07315349205534498,0.00010789693867046662
20.0,0.03274725947785801,0.07153970418360302,9.805318458145478e-05
