Variance,A,B,C
4.5,0.40205663988699253,0.4003624381845455,0.003675134612577913
5.0,0.36874212712838506,0.38860389260790285,0.0019998751627674856
5.5,0.34084405278106855,0.3778925092015799,0.0007924802516935214
6.0,0.31723601572801946,0.36824096634578407,-0.00010377700363491014
6.5,0.2970564489948491,0.3595848216262247,-0.0007862262430600385
7.0,0.2796416389587007,0.35182839631692325,-0.0013174044069415869
7.5,0.264481576763943,0.34487323119775937,-0.001738859871931209
8.0,0.25117059359498267,0.33861790226037286,-0.002078797281059147
8.5,0.23939859577656758,0.33297937780699927,-0.0023571013486188342
9.0,0.2289113744936232,0.3278765261415706,-0.0025878418652997073
9.5,0.2195110999540484,0.3232446553488131,-0.002781394619452634
10.0,0.21103458087617707,0.3190245301512873,-0.002945397619986154
10.5,0.20335123826159374,0.31516777977402166,-0.0030856702669364443
11.0,0.1963515615164237,0.31163040806143705,-0.003206617255842881
11.5,0.18994740323444634,0.3083774249655733,-0.0033117214593126666
12.0,0.1840624961190846,0.3053755542436893,-0.0034036497657549624
12.5,0.17863538300817836,0.302599081343178,-0.0034845893855529084
13.0,0.17361255264899578,0.3000239246555704,-0.0035562562673107354
13.5,0.16894802490202218,0.29762856375621755,-0.0036200257879112825
14.0,0.1646038782057362,0.29539599659876054,-0.003677063039759577
14.5,0.16054676563759235,0.2933104728637902,-0.003728308301517994
15.0,0.15674776477715832,0.2913580614910489,-0.003774539431450185
15.5,0.15318178580198585,0.28952655018930573,-0.0038164076575133493
16.0,0.1498254084636211,0.28780307463139115,-0.0038544094362157294
16.5,0.14666429269677422,0.2861847776240609,-0.0038891746780891556
17.0,0.1436760675241617,0.28465564808161864,-0.00392091152556268
17.5,0.1408487872730174,0.28321230211289905,-0.003950061638106209
18.0,0.13816790866084208,0.28184617140022583,-0.0039768706830581825
18.5,0.13562184045927975,0.2805514914689796,-0.004001596908926658
19.0,0.13320058049835634,0.27932363389452425,-0.00402447886426081
19.5,0.13089392682504855,0.2781565734106457,-0.0040456780651716845
