Density,Numerical_integration,Saddle_point,NNLO
4.0,(0.02506229150363086-0.062450187637292855j),,-2.154874497516306
4.05,(0.02377062281497816-0.060196769668009915j),,-1.8034638826761777
4.1000000000000005,(0.022548360665663368-0.058020809785405004j),,-1.516434433723002
4.15,(0.021391615028391646-0.05592003856787048j),,-1.280644171833821
4.2,(0.02029672240905536-0.05389221187784653j),,-1.0859083461381596
4.25,(0.01926023229898703-0.051935115669325974j),,-0.9242736356989536
4.3,(0.01827889443655077-0.050046570049487364j),,-0.7894847852069189
4.3500000000000005,(0.017349646833067806-0.048224432679406286j),,-0.6765890164486684
4.4,(0.016469604519850647-0.04646660158972225j),,-0.5816400704519737
4.45,(0.015636048974970562-0.04477101747900219j),,-0.5014749742158096
4.5,(0.01484641819026716-0.04313566555529267j),,-0.4335443623760578
4.55,(0.014098297341003697-0.041558576974874376j),,-0.37578256653794667
4.6000000000000005,(0.01338941002245028-0.04003782992642296j),,-0.32650746737299796
4.65,(0.012717610019526242-0.038571550403615845j),,-0.28434278786846445
4.7,(0.012080873577437846-0.037157912704577044j),,-0.24815742683926753
4.75,(0.011477292143000702-0.035795139692414955j),,-0.217017818408019
4.800000000000001,(0.010905065548027658-0.034481502847399766j),,-0.19015031225973716
4.8500000000000005,(0.010362495607789717-0.033215322138011115j),,-0.16691130949956026
4.9,(0.00984798010911581-0.03199496573511693j),,-0.14676343560148034
4.95,(0.00936000716418703-0.030818849590893274j),,-0.12925643856872868
5.0,(0.008897149907497038-0.02968543690171184j),,-0.11401180490702373
5.050000000000001,(0.008458061514799447-0.02859323747210385j),,-0.10071031544648001
5.1000000000000005,(0.008041470524139263-0.02754080699499575j),,-0.08908193697937719
5.15,(0.007646176440277007-0.02652674626171543j),,-0.07889757829913392
5.2,(0.00727104560495608-0.025549700313738377j),,-0.06996234090383978
5.25,(0.0069150073165458025-0.02460835754678148j),,-0.06210997299769068
5.300000000000001,(0.00657705018360815-0.023701448776626343j),,-0.05519829613609399
5.3500000000000005,(0.006256218697897573-0.0228277462749665j),,-0.049105421123217814
5.4,(0.0059516100132046175-0.021986062782590004j),,-0.04372660673639235
5.45,(0.0056623709173032-0.02117525050633667j),,-0.03897164389396207
5.5,(0.005387694985058907-0.020394200105487578j),,-0.03476267079927358
5.550000000000001,(0.005126819901505176-0.019641839672543532j),,-0.0310323427512324
5.6000000000000005,(0.004879024944396755-0.018917133712723976j),,-0.027722294757173076
5.65,(0.004643628616410027-0.018219082125962526j),,-0.024781846620256624
5.7,(0.004419986417778188-0.017546719194673432j),,-0.022166909421453537
5.75,(0.004207488750729534-0.016899112580119627j),,-0.019839059756165053
5.800000000000001,(0.004005558947640133-0.016275362329818098j),,-0.01776475409196632
5.8500000000000005,(0.0038136514153222106-0.015674599898060384j),,-0.015914660479375634
5.9,(0.0036312498883462334-0.015095987181317464j),,-0.014263088801547766
5.95,(0.003457865784741321-0.01453871557001127j),,-0.012787503972214693
6.0,(0.0032930366578376087-0.014002005017891936j),,-0.011468109127043262
6.050000000000001,(0.0031363247384055006-0.013485103130034794j),,-0.010287488015316789
6.1000000000000005,(0.002987315561613799-0.012987284270277778j),,-0.009230297576818038
6.15,(0.0028456166736718644-0.01250784868874522j),,-0.008283003155175519
6.2,(0.0027108564133424967-0.012046121669950064j),,-0.007433650011585601
6.25,(0.002582682763813312-0.01160145270183331j),,-0.006671665808254724
6.300000000000001,(0.002460762270695597-0.011173214665978518j),,-0.005987689566637479
6.3500000000000005,(0.002344779022183511-0.01076080304913477j),,-0.005373423301921843
6.4,(0.002234433687653491-0.010363635176091273j),,-0.004821503116853233
6.45,(0.002129442611214131-0.009981149463865094j),,-0.004325387024922083
6.5,(0.002029536956933762-0.009612804697094798j),,-0.0038792571815020314
6.550000000000001,(0.0019344619026749298-0.009258079324472448j),,-0.0034779345450816064
6.6000000000000005,(0.0018439758796545522-0.00891647077599423j),,-0.0031168042802379213
6.65,(0.0017578498550263877-0.008587494800764947j),,-0.0027917504584646386
6.7,(0.0016758666549481884-0.008270684825054745j),,-0.002499098819811299
6.75,(0.0015978203257518357-0.007965591330273178j),,-0.00223556653364865
6.800000000000001,(0.001523515530980389-0.0076717812504996765j),,-0.001998218045821236
6.8500000000000005,(0.0014527669821925708-0.007388837389186884j),,-0.0017844262261977996
6.9,(0.0013853989015631476-0.007116357854635508j),,-0.0015918381386837814
6.95,(0.0013212445144273038-0.006853955513825302j),,-0.0014183448480398874
7.0,(0.0012601455700297659-0.006601257464174873j),,-0.0012620547567932284
7.050000000000001,(0.001201951888844179-0.006357904522795824j),,-0.001121270033174285
7.1000000000000005,(0.0011465209349272704-0.006123550732800556j),,-0.0009944657490750524
7.15,(0.0010937174118645506-0.005897862886219682j),,-0.0008802713969378377
7.2,(0.0010434128809509954-0.005680520063083593j),,-0.000777454497461385
7.25,(0.000995485400331496-0.005471213186223474j),,-0.0006849060470708831
7.300000000000001,(0.0009498191839019685-0.005269644591347974j),,-0.0006016275861030277
7.3500000000000005,(0.0009063042788435464-0.005075527611955497j),,-0.0005267196963367168
7.4,(0.0008648362607292814-0.0048885861786465675j),,-0.0004593717604717203
7.45,(0.0008253159452057088-0.004708554432404535j),,-0.00039885283694769355
7.5,(0.0007876491153106247-0.004535176351420905j),,-0.00034450352155045844
7.550000000000001,(0.0007517462635438442-0.004368205391046753j),,-0.0002957286829520289
7.6000000000000005,(0.0007175223478596113-0.004207404136459369j),,-0.0002519909730005532
7.65,(0.0006848965607982464-0.00405254396764187j),,-0.00021280502449303433
7.7,(0.0006537921110204126-0.0039034047362804317j),,-0.00017773225956545013
7.75,(0.0006241360165502449-0.003759774454193669j),,-0.00014637624092487525
7.800000000000001,(0.0005958589090743279-0.0036214489929165448j),,-0.00011837850610128161
7.8500000000000005,(0.0005688948486810933-0.003488231794070348j),,-9.341483186314516e-05
7.9,(0.000543181148461187-0.0033599335901601224j),,-7.119188204983395e-05
7.95,(0.0005186582084226611-0.003236372135448993j),,-5.144419743671822e-05
8.0,(0.0004952693582064566-0.0031173719465691463j),,-3.3931490961952934e-05
8.05,(0.0004729607081171611-0.0030027640525378168j),,-1.8436215790174342e-05
8.1,(0.0004516810080119506-0.0028923857538561007j),,-4.7613773398033505e-06
8.15,(0.00043138151361670006-0.002786080390377832j),,7.271436380488528e-06
8.200000000000001,(0.0004120158598629118-0.0026836971176445227j),,1.7823828940178884e-05
8.25,(0.0003935399408622391-0.0025850906913914844j),,2.704219446544124e-05
8.3,(0.00037591179615713185-0.0024901212599393557j),,3.505915951507072e-05
8.35,(0.00035909150290669954-0.0023986541641936665j),,4.199488397829265e-05
8.4,(0.0003430410736860018-0.0023105597449841167j),,4.795823538052279e-05
8.450000000000001,(0.0003277243595953135-0.0022257131574833j),,5.304784944202048e-05
8.5,(0.00031310695839283304-0.0021439941924531296j),,5.735308836699253e-05
8.55,(0.00029915612738044806-0.002065287104075387j),,6.095490712642674e-05
8.6,(0.00028584070078731076-0.00198948044413044j),,6.392663691872517e-05
8.65,(0.0002731310114102066-0.0019164669022964298j),,6.633469403227493e-05
8.700000000000001,(0.000260998816283135-0.0018461431523482635j),,6.823922147954337e-05
8.75,(0.000249417226161183-0.0017784097040434938j),,6.969467001098398e-05
8.8,(0.00023836063861566218-0.0017131707604892757j),,7.075032443827136e-05
8.85,(0.00022780467454874828-0.0016503340807913274j),,7.145078059075081e-05
8.9,(0.00021772611794638853-0.0015898108477931173j),,7.183637768822073e-05
8.950000000000001,(0.00020810285869828036-0.0015315155407194738j),,7.194359042996002e-05
9.0,(0.00019891383832308583-0.001475365812545926j),,7.180538466783566e-05
9.05,(0.00019013899844593873-0.001421282371920624j),,7.145154014471126e-05
9.1,(0.00018175923188361559-0.0013691888694722953j),,7.090894343319178e-05
9.15,(0.00017375633620072626-0.0013190117883431455j),,7.020185389956302e-05
9.200000000000001,(0.00016611296960760005-0.0012706803387915696j),,6.935214523968399e-05
