Density,Numerical_integration,Saddle_point,NNLO
7.300000000000001,(0.00047490959196822897-170970.49492218863j),,-0.0006016275861030277
7.3500000000000005,(0.00045315213944122713-189833.99724604096j),,-0.0005267196963367168
7.4,(0.0004324181303865872-210780.73037040007j),,-0.0004593717604717203
7.45,(0.00041265797262760473-234040.931257801j),,-0.00039885283694769355
7.5,(0.00039382455768322396-259870.29762103828j),,-0.00034450352155045844
7.550000000000001,(0.00037587313180339473-288552.80487041094j),,-0.0002957286829520289
7.6000000000000005,(0.0003587611739652869-320403.8348507914j),,-0.0002519909730005532
7.65,(0.000342448280439124-355773.6508902656j),,-0.00021280502449303433
7.7,(0.0003268960555552949-395051.25750548573j),,-0.00017773225956545013
7.75,(0.00031206800832594327-438668.68735593307j),,-0.00014637624092487525
7.800000000000001,(0.0002979294545944364-487105.7627566737j),,-0.00011837850610128161
7.8500000000000005,(0.0002844474244050859-540895.3842992504j),,-9.341483186314516e-05
7.9,(0.00027159057430331226-600629.4049510946j),,-7.119188204983395e-05
7.95,(0.00025932910429325923-666965.1544692288j),,-5.144419743671822e-05
8.0,(0.00024763467919552317-740632.6861458723j),,-3.3931490961952934e-05
8.05,(0.0002364803541625429-822442.8258812607j),,-1.8436215790174342e-05
8.1,(0.00022584050412307019-913296.1124400344j),,-4.7613773398033505e-06
8.15,(0.00021569075694022279-1014192.7275914258j),,7.271436380488528e-06
8.200000000000001,(0.00020600793007995868-1126243.5257666442j),,1.7823828940178884e-05
8.25,(0.00019676997059833308-1250682.2850130764j),,2.704219446544124e-05
8.3,(0.00018795589826683392-1388879.3145154545j),,3.505915951507072e-05
8.35,(0.00017954575166530146-1542356.5689408954j),,4.199488397829265e-05
8.4,(0.00017152053708159606-1712804.4365108944j),,4.795823538052279e-05
8.450000000000001,(0.00016386218006622237-1902100.3861954873j),,5.304784944202048e-05
8.5,(0.00015655347949869065-2112329.6799646425j),,5.735308836699253e-05
8.55,(0.00014957806403040973-2345808.3788495054j),,6.095490712642674e-05
8.6,(0.0001429203507764755-2605108.8969102693j),,6.392663691872517e-05
8.65,(0.00013656550613586638-2893088.3853631597j),,6.633469403227493e-05
8.700000000000001,(0.00013049940862623863-3212920.260391416j),,6.823922147954337e-05
8.75,(0.00012470861362587384-3568129.2229064116j),,6.969467001098398e-05
8.8,(0.00011918031992125773-3962630.1571148667j),,7.075032443827136e-05
8.85,(0.00011390233796440605-4400771.337614921j),,7.145078059075081e-05
8.9,(0.00010886305974933934-4887382.422362399j),,7.183637768822073e-05
8.950000000000001,(0.00010405143022207892-5427827.7617427865j),,7.194359042996002e-05
9.0,(9.945692014327404e-05-6028065.612744625j),,7.180538466783566e-05
9.05,(9.506950032696994e-05-6694713.912498574j),,7.145154014471126e-05
9.1,(9.087961718321536e-05-7435123.337951937j),,7.090894343319178e-05
9.15,(8.687816949618016e-05-8257458.458990399j),,7.020185389956302e-05
9.200000000000001,(8.305648637312094e-05-9170787.881786335j),,6.935214523968399e-05
9.25,(7.940630630309148e-05-10185184.378537877j),,6.837952488408832e-05
9.3,(7.591975726757645e-05-11311836.110165793j),,6.730173334557414e-05
9.35,(7.258933784836191e-05-12563170.171172991j),,6.61347253813673e-05
9.4,(6.940789928090373e-05-13952989.8221044j),,6.4892834661115e-05
9.450000000000001,(6.636862840424426e-05-15496626.92638109j),,6.358892346933399e-05
9.5,(6.346503146114036e-05-17211111.27638757j),,6.223451882460444e-05
9.55,(6.069091870457289e-05-19115358.680444155j),,6.083993626604342e-05
9.600000000000001,(5.804038976912322e-05-21230379.88973245j),,5.9414392438896955e-05
9.65,(5.5507819767941825e-05-23579512.674692314j),,5.796610750411419e-05
9.700000000000001,(5.308784607810665e-05-26188679.61639427j),,5.6502398300288715e-05
9.75,(5.077535577915296e-05-29086674.462757006j),,5.5029763099307185e-05
9.8,(4.8565473711422905e-05-32305480.2153747j),,5.355395871846358e-05
9.850000000000001,(4.6453551122644405e-05-35880622.46362469j),,5.2080070680830346e-05
9.9,(4.443515487281907e-05-39851561.87254661j),,5.061257705154431e-05
9.950000000000001,(4.250605716907165e-05-44262130.16401376j),,4.915540651969142e-05
